id_marcas,descripcion
NULL,3COM
NULL,ACER
NULL,ADAPTEC
NULL,ADVANCED MICRO DEVICES
NULL,AMERICA POWER CONVERSION
NULL,APPLE COMPUTER
NULL,ARTISOFT
NULL,AT&T
NULL,ATTACHMATE
NULL,BOCA RESEARCH
NULL,BORLAND
NULL,CABLETRON SYSTEMS
NULL,CAERE CORPORATION
NULL,CANON
NULL,CHEYENNE SOFTWARE
NULL,CISCO SYSTEMS
NULL,COMPAQ COMPUTER CORP
NULL,COMPUTER ASSOCIATES
NULL,CONNER PERIPHERALS
NULL,COREL CORPORATION
NULL,CYRIX CORPORATION
NULL,DELRINA CORPORATION
NULL,DIAMOND MULTIMEDIA SYSTEMS
NULL,DIGITAL EQUIPMENT CORPORATION
NULL,EPSON
NULL,FUJITSU COMPUTER PRODUCTS
NULL,HEWLETT PACKARD
NULL,IBM
NULL,INTEL
NULL,KODAK
NULL,LEXMARK
NULL,LOTUS DEVELOPMENT
NULL,MACROMEDIA
NULL,MAXTOR CORPORATION
NULL,MCAFEE ASSOCIATES
NULL,MICROGRAFX
NULL,MICROPOLIS
NULL,MICROCOSFT
NULL,MOTOROLA
NULL,MULTI-TECH SYSTEMS
NULL,NEC TECHNOLOGIES
NULL,NOVELL
NULL,OKIDATA
NULL,PACKARD BELL
NULL,"QMS, INC."
NULL,QUARTERDECK
NULL,SAMSUNG
NULL,SEAGATE TECHNOLOGIES
NULL,SILICON GRAPHICS
NULL,SONY
NULL,STANDARD MICRO SYSTEMS
NULL,STRATEGIC RESOURCE CORP
NULL,SUN MICRO SYSTEMS
NULL,SYBASE
NULL,TEKTRONICS
NULL,TEXAS INSTRUMENTS
NULL,TOSHIBA
NULL,U.S. ROBOTICS
NULL,VIEWSONIC CORPORATION
NULL,WESTERN DIGITAL
NULL,XEROX
NULL,XIRCOM
NULL,ZENITH DATA SYSTEMS
NULL,DELL
NULL,DAHUA
NULL,HIKVISION
NULL,Q-SEE
NULL,NIXZEN
NULL,UBIQUITI
NULL,LG
NULL,FURUKAWA
